forecaster_type,forecaster,date,PS,VI,CI,DI
quant_modeler,jhk,2020-04-29,0.04875,0.25,0.03089285714285714,0.23214285714285715
quant_modeler,economist,2020-04-30,0.046421568627450976,0.2499038831218762,0.046421568627450976,0.2499038831218762
quant_modeler,jhk,2020-04-30,0.04973214285714285,0.25,0.019970238095238093,0.22023809523809526
quant_modeler,economist,2020-05-01,0.04828431372549019,0.2499038831218762,0.02867647058823529,0.23029603998462128
quant_modeler,jhk,2020-05-01,0.04973214285714285,0.25,0.019970238095238093,0.22023809523809526
quant_modeler,economist,2020-05-02,0.04573529411764705,0.2499038831218762,0.026127450980392153,0.23029603998462128
quant_modeler,jhk,2020-05-02,0.049062499999999995,0.25,0.02227678571428571,0.22321428571428573
quant_modeler,economist,2020-05-03,0.04328431372549019,0.2499038831218762,0.04328431372549019,0.2499038831218762
quant_modeler,jhk,2020-05-03,0.048348214285714286,0.25,0.021562500000000002,0.22321428571428573
quant_modeler,economist,2020-05-04,0.042156862745098035,0.2499038831218762,0.042156862745098035,0.2499038831218762
quant_modeler,jhk,2020-05-04,0.04941964285714285,0.25,0.019657738095238093,0.22023809523809526
quant_modeler,economist,2020-05-05,0.042303921568627445,0.2499038831218762,0.042303921568627445,0.2499038831218762
quant_modeler,jhk,2020-05-05,0.048258928571428564,0.25,0.039330357142857146,0.24107142857142858
quant_modeler,economist,2020-05-06,0.04323529411764706,0.2499038831218762,0.0334313725490196,0.24009996155324873
quant_modeler,jhk,2020-05-06,0.048258928571428564,0.25,0.039330357142857146,0.24107142857142858
quant_modeler,economist,2020-05-07,0.042450980392156855,0.2499038831218762,0.03264705882352941,0.24009996155324873
quant_modeler,jhk,2020-05-07,0.04732142857142857,0.25,0.03541666666666666,0.2380952380952381
quant_modeler,economist,2020-05-08,0.04117647058823529,0.2499038831218762,0.03137254901960784,0.24009996155324873
quant_modeler,jhk,2020-05-08,0.04642857142857143,0.25,0.03452380952380952,0.2380952380952381
quant_modeler,economist,2020-05-09,0.04112745098039215,0.2499038831218762,0.0313235294117647,0.24009996155324873
quant_modeler,jhk,2020-05-09,0.047410714285714285,0.25,0.035505952380952374,0.2380952380952381
quant_modeler,economist,2020-05-10,0.041715686274509806,0.2499038831218762,0.03191176470588235,0.24009996155324873
quant_modeler,jhk,2020-05-10,0.04683035714285714,0.25,0.03790178571428571,0.24107142857142858
quant_modeler,economist,2020-05-11,0.04225490196078431,0.2499038831218762,0.03245098039215686,0.24009996155324873
quant_modeler,jhk,2020-05-11,0.046294642857142854,0.25,0.028437499999999998,0.23214285714285715
quant_modeler,economist,2020-05-12,0.04225490196078431,0.2499038831218762,0.03245098039215686,0.24009996155324873
quant_modeler,jhk,2020-05-12,0.044196428571428574,0.25,0.023363095238095235,0.22916666666666669
quant_modeler,economist,2020-05-13,0.042303921568627445,0.2499038831218762,0.032499999999999994,0.24009996155324873
quant_modeler,jhk,2020-05-13,0.045535714285714284,0.25,0.03363095238095238,0.2380952380952381
