cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,tipping,vpi,winstate_inc,winstate_chal,winstate_3rd,voteshare_inc,voteshare_chal,voteshare_3rd,voteshare_other,voteshare_inc_hi,voteshare_chal_hi,voteshare_3rd_hi,voteshare_other_hi,voteshare_inc_lo,voteshare_chal_lo,voteshare_3rd_lo,voteshare_other_lo,margin,margin_hi,margin_lo,win_EC_if_win_state_inc,win_EC_if_win_state_chal,win_state_if_win_EC_inc,win_state_if_win_EC_chal,state_turnout,state_turnout_hi,state_turnout_lo,timestamp,simulations
2020,President,polls-plus,11/3/20,Trump,Biden,,Hawaii,0.00045,0.1224054,0.006275,0.993725,,30.90714,67.53033,,1.562535,38.36582,74.81461,,2.307613,23.62676,60.04887,,0.9009181,-36.62318,-21.73151,-51.18551,0.1912351,0.8921483,0.0115496,0.994336,605161,692457,520090,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Georgia,0.0415875,1.351277,0.418475,0.581525,,49.15166,50.1039,,0.7444401,52.28163,53.21604,,1.081036,46.03981,46.97843,,0.4406578,-0.9522377,5.273033,-7.158911,0.2357966,0.9900692,0.9497113,0.6457492,4893254,5526447,4275157,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Florida,0.1430625,2.032911,0.309,0.691,,48.41641,50.88105,,0.7025369,51.74086,54.19498,,1.018876,45.08556,47.55532,,0.4166346,-2.464648,4.184742,-9.10919,0.3259709,0.9952967,0.9694418,0.7713661,11215824,12640068,9801608,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,District of Columbia,0,0,0,1,,5.411063,91.27472,,3.314215,7.353699,93.66711,,4.985447,3.558689,88.74265,,1.853641,-85.86366,-81.69064,-89.87743,,0.8916,0,1,338473,425782,253601,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Delaware,0.000025,0.0070506,0.00005,0.99995,,36.64574,62.27551,,1.078752,39.89986,65.50932,,1.579522,33.41905,59.00025,,0.6304538,-25.62977,-19.12063,-32.07704,0,0.8915946,0,0.9999439,499383,566354,433076,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Connecticut,0.00025,0.0218722,0.0008,0.9992,,37.54163,61.57642,,0.8819502,41.38024,65.41267,,1.285523,33.7154,57.72961,,0.5190814,-24.03479,-16.36052,-31.67088,0.59375,0.8919886,0.0045717,0.9996355,1793649,2024634,1565574,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Colorado,0.0147125,0.6835458,0.03165,0.96835,,42.82203,54.53553,,2.64244,46.69356,58.43951,,3.952477,38.95116,50.61322,,1.492425,-11.71351,-4.040487,-19.40483,0.5552922,0.9063355,0.169153,0.984354,3428925,3866404,2999561,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,California,0.002175,0.0219626,0.001425,0.998575,,34.11211,64.0617,,1.826195,38.87563,68.78064,,2.707198,29.40579,59.31218,,1.04673,-29.94959,-20.46035,-39.33101,0.2280702,0.8917708,0.003128,0.9987662,15781379,17937540,13659682,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Arkansas,0.00005,0.0066388,0.9898,0.0102,,60.45607,37.77481,,1.769124,65.67917,43.00497,,2.620517,55.20789,32.57218,,1.015248,22.68125,33.05328,12.23898,0.1048697,0.990196,0.9990376,0.0113279,1236661,1413248,1064058,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Arizona,0.0640125,3.272057,0.319775,0.680225,,48.08638,50.67472,,1.2389,51.75806,54.34381,,1.819665,44.42338,47.00318,,0.7204267,-2.588351,4.740196,-9.889132,0.2830115,0.9762579,0.8710299,0.7448127,3108663,3511633,2716673,11/3/20 0:00,40000
